D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
276070001,4,4,3,2,4,1,1,2,2,2,1,1,3,4,2,4,4,4
276070002,2,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2
276070003,2,2,2,2,3,1,1,3,3,2,2,2,1,3,4,2,3,2
276070004,3,2,2,3,2,2,2,2,3,3,2,2,1,3,3,1,1,2
276070005,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
276070006,3,2,2,2,2,2,2,2,3,2,2,2,1,3,3,2,2,2
276070007,2,3,3,3,4,3,3,3,4,4,4,3,3,4,4,2,-1,4
276070008,3,-1,4,2,-1,2,3,4,4,4,3,-1,3,3,3,3,2,4
276070009,4,3,4,4,3,4,3,4,4,4,3,2,2,4,4,3,-1,4
276070010,4,3,3,3,4,3,4,3,3,4,3,2,3,3,3,3,-1,3
276070011,2,2,3,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2
276070012,2,3,3,3,3,1,3,4,4,4,4,2,3,3,3,2,2,3
276070013,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,3,3
276070014,3,3,3,3,2,2,2,4,4,4,2,1,1,3,3,2,2,1
276070015,4,3,3,3,2,2,1,2,3,2,-1,2,1,4,3,2,-1,2
276070016,2,3,3,4,-1,2,2,2,3,-1,2,2,2,2,2,2,2,-1
276070017,4,2,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,3
276070018,3,3,3,3,3,2,2,3,3,3,3,3,2,4,4,3,-1,3
276070019,2,3,2,2,3,4,3,3,3,3,2,2,2,3,3,2,2,2
276070020,3,4,2,2,1,2,2,3,3,3,2,2,2,3,4,1,2,2
276070021,2,3,2,2,2,1,1,2,2,2,2,2,2,3,3,1,2,2
276070022,1,-1,3,3,-1,-1,-1,2,3,3,2,2,2,3,3,3,-1,2
276070023,3,2,3,3,3,1,2,3,3,3,3,2,2,4,3,3,3,3
276070024,4,3,2,2,4,3,4,3,3,3,3,2,2,3,4,3,-1,3
276070025,3,4,3,2,2,2,-1,3,3,3,2,2,2,3,3,2,2,2
276070026,1,-1,3,3,2,2,2,3,3,2,2,-1,3,2,2,2,3,3
276070027,3,2,2,3,3,2,2,2,3,3,2,2,2,3,3,2,3,3
276070028,2,3,3,3,2,2,3,3,2,3,3,2,2,3,3,2,2,3
276070029,3,3,2,2,3,2,3,2,3,2,2,4,1,4,3,2,2,2
276070030,4,2,4,4,2,4,2,4,2,3,3,3,4,3,3,3,3,3
276070031,-1,-1,3,3,-1,2,2,-1,-1,-1,2,2,2,3,3,-1,2,2
276070032,3,2,2,2,2,2,2,2,3,-1,2,2,1,3,4,3,3,3
276070033,3,2,2,3,3,1,2,2,2,2,2,2,2,2,3,2,2,2
276070034,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,1
276070035,4,2,2,2,2,2,4,4,3,3,2,2,2,3,4,2,2,2
276070036,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,4,2,2
276070037,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3,2,-1,2
276070038,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
276070039,-2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2
276070040,-1,-1,3,4,2,3,3,3,3,3,-1,2,4,3,3,2,2,2
276070041,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2
276070042,3,2,3,3,3,2,2,3,3,3,2,2,1,2,3,2,2,2
276070043,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,-1,2
276070044,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3
276070045,-1,2,4,3,3,1,2,3,3,3,2,-1,3,-1,2,1,-1,2
276070046,2,2,4,2,2,2,2,2,2,2,1,2,3,2,2,1,-1,2
276070047,4,4,4,2,-1,2,-1,3,4,3,2,-1,2,3,2,4,-1,-1
276070048,1,-1,2,3,3,1,1,1,2,1,2,2,1,3,3,2,2,1
276070049,3,3,3,3,3,2,2,2,2,2,2,2,1,3,3,3,3,3
276070050,2,3,3,3,3,2,1,2,2,2,2,2,2,3,3,2,2,2
276070051,2,3,3,3,-1,2,2,2,3,3,2,-1,2,2,2,3,3,3
276070052,4,-1,2,2,-1,2,3,3,3,3,-1,-1,2,4,3,2,3,4
276070053,4,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2,2,2
276070054,3,2,2,2,-2,2,3,2,2,2,3,-1,2,3,2,2,-1,3
276070055,-1,-1,3,3,3,2,2,3,-1,3,2,1,2,3,3,3,-1,2
276070056,-1,2,3,3,2,2,2,3,3,3,2,2,3,3,2,1,1,2
276070057,2,3,4,4,2,1,3,3,3,3,1,1,3,2,3,3,-1,3
276070058,3,2,2,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2
276070059,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2
276070060,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,2
276070061,3,2,3,3,4,2,3,2,3,2,2,2,3,2,4,2,2,2
276070062,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,2,2,2
276070063,3,3,2,2,2,3,2,3,3,2,2,2,1,2,3,2,2,2
276070064,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3
276070065,4,4,4,4,2,1,2,3,3,3,2,2,1,4,4,3,2,3
276070066,2,3,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2
276070067,-1,-1,2,2,3,2,2,2,4,3,2,3,1,3,2,2,3,3
276070068,-2,-1,3,2,2,2,-2,4,4,4,2,1,-2,-1,3,1,1,1
276070069,-1,-1,-1,-1,-1,2,-1,2,-1,-1,2,2,1,4,3,1,1,2
276070070,2,2,2,2,2,2,1,2,2,2,2,2,1,3,3,2,2,2
276070071,3,3,3,3,1,3,3,3,3,3,4,1,4,4,4,4,3,2
276070072,4,3,1,1,2,2,4,4,3,3,4,2,3,3,4,4,3,2
276070073,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
276070074,3,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,2
276070075,3,3,3,3,3,2,3,3,3,3,2,2,2,4,4,1,1,1
276070076,2,2,3,3,3,2,2,2,2,2,3,2,2,3,2,2,2,2
276070077,3,3,4,3,3,1,2,3,4,2,2,2,1,3,3,3,2,2
276070078,4,-1,4,4,4,4,3,4,4,4,4,-1,4,4,4,4,-1,4
276070079,3,3,2,2,3,1,2,2,3,2,2,2,2,3,2,2,2,2
276070080,3,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2
276070081,3,3,4,3,3,2,2,3,3,3,2,2,2,3,3,2,2,2
276070082,4,3,4,4,4,2,2,3,4,3,3,2,3,3,3,3,2,2
276070083,4,3,2,2,2,1,3,4,4,4,3,-1,4,4,4,3,2,2
276070084,3,2,2,2,3,2,2,2,3,2,3,2,2,2,3,4,3,3
276070085,4,-1,4,4,-1,4,4,4,4,-1,4,4,4,4,3,3,3,3
276070086,3,1,2,3,4,1,2,2,2,2,3,1,1,2,3,2,2,2
276070087,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2
276070088,2,2,3,4,3,2,2,3,3,3,2,1,2,4,2,2,3,2
276070089,3,2,2,3,3,2,2,3,3,3,2,2,2,3,3,3,3,2
276070090,4,2,4,3,2,2,2,3,3,3,2,2,1,3,3,2,2,3
276070091,3,3,2,2,2,2,1,3,3,2,3,2,1,3,2,2,2,2
276070092,3,4,2,3,3,2,1,3,3,3,2,2,2,3,3,2,3,2
276070093,4,3,3,4,4,2,2,3,3,4,2,2,3,2,4,2,3,4
276070094,-2,3,3,3,3,2,3,4,4,4,4,2,2,4,3,2,-1,3
276070095,2,2,3,2,-1,1,2,3,3,3,2,2,1,3,3,1,2,3
276070096,2,2,3,2,2,1,1,2,2,2,2,2,2,3,3,3,3,3
276070097,3,2,3,3,3,2,2,3,4,3,3,2,2,3,4,2,3,2
276070098,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,-1,2
276070099,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
276070100,3,2,3,2,1,2,3,3,3,3,2,1,2,2,3,2,2,2
276070101,3,-1,3,3,-1,2,2,3,3,3,2,-1,2,3,3,-1,-1,2
276070102,2,2,4,4,-1,1,1,2,2,1,1,-1,-1,2,2,2,2,1
276070103,2,2,3,3,-1,4,1,3,2,3,1,3,1,2,2,1,1,1
276070104,3,3,3,3,3,1,2,3,3,3,3,-1,2,3,3,-1,-1,2
276070105,3,2,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2
276070106,3,2,3,3,2,2,2,3,3,3,3,2,2,3,3,3,-1,3
276070107,3,2,4,3,1,1,1,2,3,3,2,2,1,4,4,2,3,2
276070108,-1,-1,2,2,-1,1,1,-1,-1,2,-1,2,2,1,2,-1,-1,-1
276070109,2,3,3,3,2,2,2,2,3,3,3,3,2,4,4,1,2,1
276070110,4,3,3,3,3,2,2,2,4,3,3,3,3,3,3,3,3,3
276070111,3,2,3,3,2,2,3,3,4,3,3,2,2,3,2,1,2,1
276070112,2,2,2,2,3,3,3,2,2,1,2,1,1,3,3,1,2,1
276070113,4,2,3,3,-2,3,3,3,3,3,3,2,2,3,4,2,3,3
276070114,3,3,4,4,4,3,3,3,3,3,3,3,1,4,4,3,3,3
276070115,4,3,3,3,2,2,2,3,3,3,2,-1,3,3,4,3,3,3
276070116,3,2,2,1,2,1,3,2,3,3,2,2,3,1,2,1,1,1
276070117,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,-1,3
276070118,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,3
276070119,2,2,3,1,1,3,2,2,2,2,3,2,3,3,1,3,2,3
276070120,3,2,3,3,2,2,2,3,3,3,2,-1,2,3,4,2,-1,3
276070121,4,2,1,2,2,1,1,2,3,2,2,1,2,2,1,1,2,1
276070122,3,3,2,3,2,2,2,2,2,2,2,2,1,3,2,2,2,2
276070123,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,3,2
276070124,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2
276070125,1,1,2,2,3,1,1,1,2,1,2,2,1,2,3,2,2,2
276070126,4,2,4,4,2,2,2,4,4,4,4,2,1,3,2,2,2,2
276070127,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,2,2
276070128,2,3,2,2,-1,2,-1,3,3,2,3,-1,2,3,3,2,3,2
276070129,3,4,2,3,3,3,2,2,3,3,3,2,1,4,4,1,1,1
276070130,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2
276070131,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
276070132,1,-1,2,3,3,1,2,4,4,4,3,2,2,3,2,2,2,2
276070133,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2
276070134,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,2,2,2
276070135,2,3,2,2,2,2,1,2,2,2,2,1,2,3,3,2,2,1
276070136,3,3,3,3,3,3,3,3,4,4,3,-1,2,4,3,3,3,3
276070137,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,3,2,2
276070138,3,3,4,3,-1,2,2,3,3,3,2,-1,3,3,3,3,2,1
276070139,3,3,3,3,-1,3,3,-1,-1,-1,-1,-1,2,4,-1,-1,2,-1
276070140,3,2,3,2,3,2,3,2,3,3,3,3,2,3,2,2,2,3
276070141,2,2,3,-1,-1,2,2,2,2,2,2,2,2,-1,2,-1,-1,2
276070142,3,-1,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3
276070143,3,3,3,3,3,1,1,3,3,3,2,-1,3,-1,2,-1,-1,-1
276070144,4,3,3,3,3,2,2,3,3,3,3,-2,3,-2,3,-1,-1,-1
276070145,4,-1,-1,4,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276070146,3,2,2,3,2,1,2,2,3,2,2,2,2,3,2,3,-1,3
276070147,3,3,2,2,2,2,2,2,3,2,2,-1,2,3,3,-1,3,3
276070148,3,2,2,2,-1,2,2,2,3,2,2,2,1,3,3,1,-1,-1
276070149,2,-1,2,2,-1,1,1,2,2,2,1,-1,1,-1,2,-1,-1,-1
276070150,3,3,3,4,3,2,2,3,3,3,3,2,3,3,2,2,2,2
276070151,2,2,2,2,2,1,2,2,4,3,2,2,2,2,2,1,2,1
276070152,4,3,3,3,3,2,2,2,3,2,3,2,3,2,3,3,3,2
276070153,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,2,2
276070154,4,1,1,2,3,1,1,1,2,1,1,1,1,2,2,2,2,2
276070155,3,3,2,2,3,2,2,3,3,3,3,2,2,3,3,2,2,2
276070156,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,3,2,2
276070157,2,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3
276070158,1,1,4,4,3,1,1,2,2,2,1,1,1,2,3,4,2,2
276070159,3,3,3,3,2,2,2,2,3,3,3,2,2,3,3,2,3,2
276070160,2,3,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2
276070161,2,2,3,2,2,1,1,2,3,3,3,1,2,2,2,3,1,3
276070162,4,3,2,4,3,3,3,4,3,3,2,1,3,4,3,3,3,3
276070163,3,1,1,1,1,1,1,2,2,2,2,-1,2,1,2,2,2,2
276070164,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,-1
276070165,3,3,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,2
276070166,3,2,2,2,2,1,1,2,3,2,2,-1,3,4,4,2,2,2
276070167,2,3,3,3,3,2,1,3,3,3,2,2,1,3,3,2,3,2
276070168,4,1,3,4,3,1,3,2,-2,3,3,1,3,4,2,1,2,2
276070169,3,2,2,2,-1,1,1,2,3,1,1,-1,1,3,3,2,2,4
276070170,3,-1,-2,-2,2,2,3,3,3,3,2,2,2,3,3,2,2,2
276070171,3,2,2,2,3,1,2,2,3,2,2,2,1,3,3,3,3,3
276070172,4,3,3,4,3,2,3,2,3,2,4,2,1,3,3,2,2,2
276070173,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2
276070174,3,3,4,3,2,2,2,4,4,4,4,2,4,2,3,3,-1,3
276070175,-2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,-2,-2,-2
276070176,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
276070177,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3
276070178,4,4,3,3,3,4,3,3,3,3,2,-1,4,3,2,3,3,2
276070179,-2,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,-1,-1
276070180,3,2,3,3,3,2,1,2,3,2,2,2,2,3,3,2,2,2
276070181,1,3,3,3,4,2,3,4,4,4,2,3,3,3,2,2,3,3
276070182,2,2,2,2,2,1,2,2,3,3,2,2,1,3,2,1,2,2
276070183,3,2,4,4,4,2,2,4,3,3,2,2,2,3,3,1,1,1
276070184,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-2,4
276070185,3,2,2,3,2,2,3,3,3,3,3,2,1,4,3,1,1,1
276070186,2,1,2,3,2,1,1,3,3,3,1,-1,1,4,4,1,1,1
276070187,3,3,3,3,3,2,3,4,3,3,3,2,2,3,4,3,-1,2
276070188,2,2,3,3,2,2,2,2,2,2,2,1,2,3,3,2,2,1
276070189,3,2,3,3,2,2,2,3,3,3,3,2,4,2,2,2,2,1
276070190,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2
276070191,1,1,3,4,1,1,1,3,3,3,1,1,1,2,3,1,3,1
276070192,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2
276070193,4,3,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,3
276070194,4,3,3,4,3,2,1,4,4,4,2,-1,3,3,3,3,3,3
276070195,2,2,2,2,3,1,1,3,3,3,2,1,3,2,4,2,2,1
276070196,2,4,3,3,2,3,2,3,3,3,3,2,3,3,2,2,2,2
276070197,4,2,3,3,-1,2,2,4,4,4,-1,2,4,3,3,2,-1,2
276070198,4,2,3,3,2,2,2,3,3,4,2,2,3,2,2,2,2,2
276070199,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
276070200,3,2,4,4,3,3,1,3,3,2,2,3,2,3,4,3,3,3
276070201,2,3,3,3,4,2,2,2,3,3,2,2,2,3,3,2,2,2
276070202,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,2
276070203,4,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3
276070204,3,4,3,3,2,1,1,3,3,3,4,2,2,4,4,1,2,1
276070205,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,3,2,2
276070206,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,3,2
276070207,1,2,3,3,3,1,2,2,3,2,2,-1,2,3,2,2,2,1
276070208,3,2,3,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2
276070209,3,2,2,2,-1,2,2,2,3,2,2,2,2,3,3,2,2,3
276070210,4,4,4,4,2,2,3,4,4,4,4,2,3,3,4,3,-1,3
276070211,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
276070212,1,3,3,3,2,2,2,2,3,2,2,2,3,3,2,2,3,3
276070213,3,2,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,2
276070214,2,2,1,2,2,3,2,1,2,1,2,2,2,2,3,2,2,1
276070215,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2
276070216,4,2,2,3,3,2,2,2,2,2,2,1,1,2,3,3,2,2
276070217,-2,-2,4,4,4,3,-1,3,3,3,3,3,2,3,1,3,3,3
276070218,2,1,4,2,1,1,4,2,2,2,2,2,2,3,3,1,1,1
276070219,2,3,3,2,3,1,3,4,3,3,3,3,4,3,2,3,2,2
276070220,3,3,4,4,3,2,2,3,4,4,2,2,3,3,3,3,3,2
276070221,3,3,2,3,1,2,1,1,2,1,2,1,1,3,3,3,2,2
276070222,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,3,2
276070223,1,3,2,2,3,2,3,2,3,3,2,3,2,3,3,3,2,2
276070224,1,2,3,3,2,1,1,2,3,2,2,1,2,3,3,2,3,2
276070225,4,2,3,4,3,1,4,4,4,4,4,3,4,4,4,3,2,2
276070226,2,3,2,2,2,2,1,2,3,3,2,-1,1,3,3,3,-1,2
276070227,-2,-2,-2,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3
276070228,3,3,3,4,4,2,2,3,4,3,2,-1,4,3,2,3,2,1
276070229,3,-1,3,3,3,2,3,4,3,3,2,-1,2,4,3,4,-1,3
276070230,4,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2
276070231,3,2,2,2,-1,2,2,3,4,3,2,1,4,4,4,2,2,3
276070232,-1,-1,2,2,2,2,2,2,3,2,2,-1,2,4,3,3,-1,3
276070233,-1,2,3,3,3,2,3,3,3,3,3,3,-1,3,3,3,3,3
276070234,3,3,2,2,2,2,2,3,3,3,3,2,2,3,4,2,3,2
276070235,4,2,2,2,3,2,2,2,3,2,2,1,1,3,4,2,2,2
276070236,4,2,2,2,2,3,2,4,2,4,4,2,4,2,4,2,2,3
276070237,2,2,4,4,-1,2,2,2,3,-1,2,-2,2,-2,2,3,3,-2
276070238,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
276070239,3,-2,3,3,-1,2,3,3,3,3,3,2,3,3,3,2,3,3
276070240,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2
276070241,3,3,3,3,2,2,2,2,3,2,2,2,1,3,3,2,2,2
276070242,2,1,1,2,3,1,1,1,2,1,2,1,1,1,2,1,1,1
276070243,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2
276070244,1,3,3,4,3,2,2,-1,3,3,3,-1,1,3,3,2,-1,3
276070245,1,2,3,3,1,1,1,2,2,1,2,1,1,2,2,1,2,1
276070246,2,2,4,4,2,3,3,2,2,2,-1,4,4,3,4,4,4,4
276070247,3,3,2,3,2,2,3,3,3,3,3,2,1,3,4,3,2,2
276070248,3,2,4,3,3,2,2,2,3,2,2,2,2,3,3,2,2,2
276070249,3,3,2,2,4,2,2,2,3,3,2,2,2,3,2,3,3,3
276070250,4,3,4,3,4,1,2,2,2,2,2,2,1,3,4,3,2,3
276070251,-1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2
276070252,4,2,2,2,2,2,1,2,2,2,2,1,2,3,3,2,2,1
276070253,3,2,2,2,2,1,1,3,3,3,2,2,2,3,3,2,2,2
276070254,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
276070255,2,2,3,3,4,1,1,3,4,3,2,2,1,3,4,2,2,2
276070256,3,3,2,2,2,3,2,3,3,3,3,2,2,3,4,2,2,2
276070257,2,2,3,3,2,2,2,2,4,3,2,2,1,3,3,2,2,3
276070258,2,2,3,3,2,2,3,3,3,3,2,2,4,4,3,2,2,2
276070259,3,4,4,4,3,3,4,4,3,4,3,3,4,4,4,2,3,3
276070260,4,2,3,3,4,2,2,3,3,3,2,2,3,2,3,3,3,3
276070261,2,4,3,2,3,1,3,3,3,3,2,1,1,4,4,1,-1,2
276070262,4,3,4,4,2,2,3,3,3,3,2,2,2,3,3,2,2,3
276070263,1,3,2,2,3,2,1,1,1,1,1,-1,1,1,1,1,1,1
276070264,2,2,3,3,2,1,1,3,3,2,2,3,1,2,2,2,2,2
276070265,3,3,4,2,3,1,2,2,3,3,3,2,3,3,3,1,2,2
276070266,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,-1,2
276070267,3,2,3,3,3,2,3,3,3,3,2,2,4,4,4,3,3,4
276070268,3,3,3,3,2,3,1,3,3,3,3,1,1,3,3,3,1,3
276070269,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,3,3,2
276070270,3,2,4,4,2,2,2,2,3,2,2,2,3,2,3,2,2,2
276070271,3,3,4,4,3,2,2,4,4,4,2,2,2,4,4,2,2,3
276070272,2,3,3,3,3,2,2,3,3,2,2,2,2,3,2,3,3,2
276070273,3,3,2,3,3,2,2,3,3,3,2,-1,2,3,3,2,2,2
276070274,2,2,3,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2
276070275,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2,2
276070276,3,2,3,4,-1,2,2,3,3,3,2,2,2,3,3,2,-1,2
276070277,2,2,2,2,2,2,2,2,3,2,2,2,1,3,3,2,3,2
276070278,3,3,3,3,3,2,2,3,3,2,2,2,2,2,3,2,2,2
276070279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276070280,1,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2
276070281,2,3,3,3,2,1,2,2,1,1,2,1,-1,2,1,2,2,2
276070282,3,4,4,3,-1,3,1,2,-2,-2,2,2,2,2,3,3,2,3
276070283,3,2,4,4,3,2,2,2,3,3,2,2,2,3,3,2,2,2
276070284,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,2,2,2
276070285,3,-1,3,3,-1,3,2,3,3,3,2,4,3,3,2,3,1,3
276070286,3,4,4,3,2,2,2,3,3,3,2,2,3,3,3,3,-1,3
276070287,3,3,4,4,3,2,2,3,4,3,3,2,3,3,3,2,-1,2
276070288,4,3,2,3,1,2,1,3,3,2,3,1,2,4,4,3,4,3
276070289,3,2,3,3,3,2,3,3,3,2,2,2,1,3,3,2,2,2
276070290,4,2,3,2,3,2,2,3,4,3,2,3,2,3,3,2,3,3
276070291,3,2,3,3,2,1,2,3,3,3,2,2,2,2,3,2,2,2
276070292,-1,2,3,3,2,3,3,3,3,2,2,2,1,3,3,2,2,2
276070293,3,2,2,3,2,2,2,2,2,2,2,2,-1,2,2,2,2,2
276070294,2,2,3,3,3,2,2,4,4,4,2,-2,-2,-2,3,4,-2,3
276070295,1,2,3,3,3,2,2,2,3,-2,2,2,2,2,2,2,2,2
276070296,1,2,2,3,2,2,1,2,2,2,2,2,2,3,3,2,2,2
276070297,3,3,3,3,3,2,1,-2,-2,-2,-2,-1,-2,-1,-1,4,3,4
276070298,2,3,4,3,-2,-2,-2,-2,-2,-2,3,2,2,4,3,-1,2,2
276070299,2,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,-2,2
276070300,4,1,3,3,2,1,1,2,3,2,3,2,3,3,3,2,2,2
276070301,3,2,3,3,2,2,-1,2,-2,2,3,-1,1,2,2,3,-1,-1
276070302,3,2,2,-2,-1,1,2,1,2,2,2,-1,1,3,2,2,2,2
276070303,1,-1,3,3,2,1,3,3,3,3,2,-1,1,4,3,-1,-1,2
276070304,2,1,2,2,3,1,2,-1,3,2,3,2,1,3,3,2,-1,2
